# contig	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
k99_248254	classified	based on 2/3 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838;165179	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	Prevotella: 1.00	Prevotella copri: 1.00
k99_248379	classified	based on 7/7 ORFs	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Clostridiaceae: 1.00	Clostridium: 1.00	not classified
k99_248444	classified	based on 1/1 ORFs	1;131567;2;1783272;1239;186801;186802;541000;1263	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Ruminococcaceae: 1.00	Ruminococcus: 1.00	not classified
k99_248474	classified	based on 3/3 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.65;0.65	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Bacteroidaceae: 0.65	Bacteroides: 0.65	not classified
k99_248564	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	not classified	not classified
k99_248702	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549;333046;909656;310297	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	NA	Phocaeicola: 1.00	Phocaeicola plebeius: 1.00
k99_248833	classified	based on 4/4 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Lachnospiraceae: 1.00	Roseburia: 1.00	not classified
k99_248859	classified	based on 8/8 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	not classified	not classified	not classified	not classified	not classified
k99_248884	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Bacteroidaceae: 1.00	Bacteroides: 1.00	not classified
k99_248902	classified	based on 6/6 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Prevotellaceae: 1.00	not classified	not classified
k99_249002	classified	based on 2/2 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Bacteroidaceae: 1.00	Bacteroides: 1.00	not classified
k99_249058	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.86;0.86;0.86;0.86;0.86;0.86;0.86	Bacteria: 1.00	Bacteroidetes: 0.86	Bacteroidia: 0.86	Bacteroidales: 0.86	Bacteroidaceae: 0.86	Bacteroides: 0.86	not classified
k99_249361	classified	based on 7/7 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841;301301	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Lachnospiraceae: 1.00	Roseburia: 1.00	Roseburia hominis: 0.91
k99_249398	classified	based on 6/6 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria: 1.00	not classified	not classified	not classified	not classified	not classified	not classified
k99_249819	classified	based on 5/5 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria: 1.00	not classified	not classified	not classified	not classified	not classified	not classified
k99_249870	classified	based on 8/8 ORFs	1;131567;2;1783270;68336;976;200643;171549;2005525;375288	1.00;1.00;1.00;0.81;0.81;0.81;0.81;0.81;0.59;0.59	Bacteria: 1.00	Bacteroidetes: 0.81	Bacteroidia: 0.81	Bacteroidales: 0.81	Tannerellaceae: 0.59	Parabacteroides: 0.59	not classified
k99_249942	classified	based on 7/7 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.97;0.97	Bacteria: 1.00	Firmicutes: 0.97	not classified	not classified	not classified	not classified	not classified
k99_249987	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;0.97;0.97;0.97;0.97;0.97;0.97;0.97	Bacteria: 0.97	Bacteroidetes: 0.97	Bacteroidia: 0.97	Bacteroidales: 0.97	not classified	not classified	not classified
k99_25001	classified	based on 1/5 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_250381	classified	based on 3/4 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.95;0.95;0.95;0.95;0.95;0.65;0.65	Bacteria: 1.00	Bacteroidetes: 0.95	Bacteroidia: 0.95	Bacteroidales: 0.95	Bacteroidaceae: 0.65	Bacteroides: 0.65	not classified
k99_250897	classified	based on 3/3 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_25090	classified	based on 5/5 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria: 1.00	not classified	not classified	not classified	not classified	not classified	not classified
k99_250947	classified	based on 4/4 ORFs	1	1.00	not classified	not classified	not classified	not classified	not classified	not classified	not classified
k99_251003	classified	based on 3/3 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_251126	classified	based on 8/8 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	not classified	not classified	not classified	not classified	not classified
k99_251371	classified	based on 4/4 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Lachnospiraceae: 1.00	Roseburia: 1.00	not classified
