domain,phylum,reads,sample
Bacteria,Nitrospirae,88,22001612560572
Bacteria,Deferribacteres,56,22001612560572
Bacteria,Candidatus Saccharibacteria,39,22001612560572
Bacteria,Candidatus Bipolaricaulota,11,22001612560572
Bacteria,Thermodesulfobacteria,31,22001612560572
Bacteria,Elusimicrobia,31,22001612560572
Bacteria,Chrysiogenetes,20,22001612560572
Bacteria,Dictyoglomi,19,22001612560572
Bacteria,Coprothermobacterota,13,22001612560572
Bacteria,Calditrichaeota,12,22001612560572
Archaea,Euryarchaeota,2852,22001612560572
Archaea,Crenarchaeota,69,22001612560572
Archaea,Thaumarchaeota,38,22001612560572
Metazoa,Chordata,2118,22001612560572
Bacteria,Bacteroidetes,1221539,22001612561644
Bacteria,Chlorobi,110,22001612561644
Bacteria,Ignavibacteriae,21,22001612561644
Bacteria,Balneolaeota,27,22001612561644
Bacteria,Gemmatimonadetes,34,22001612561644
Bacteria,Fibrobacteres,31,22001612561644
Bacteria,Firmicutes,441311,22001612561644
Bacteria,Actinobacteria,30440,22001612561644
Bacteria,Cyanobacteria,329,22001612561644
Bacteria,Deinococcus-Thermus,158,22001612561644
Bacteria,Chloroflexi,150,22001612561644
Bacteria,Tenericutes,132,22001612561644
Bacteria,Proteobacteria,27573,22001612561644
Bacteria,Verrucomicrobia,618,22001612561644
Bacteria,Planctomycetes,335,22001612561644
Bacteria,Lentisphaerae,199,22001612561644
Bacteria,Chlamydiae,17,22001612561644
Bacteria,Spirochaetes,303,22001612561644
Bacteria,Fusobacteria,233,22001612561644
Bacteria,Acidobacteria,78,22001612561644
Bacteria,Synergistetes,65,22001612561644
Bacteria,Candidatus Saccharibacteria,29,22001612561644
Bacteria,Candidatus Bipolaricaulota,20,22001612561644
Bacteria,Nitrospirae,24,22001612561644
Bacteria,Thermotogae,23,22001612561644
Bacteria,Deferribacteres,21,22001612561644
Bacteria,Aquificae,15,22001612561644
Metazoa,Chordata,457,22001612561644
Archaea,Euryarchaeota,201,22001612561644
Archaea,Crenarchaeota,10,22001612561644
Bacteria,Bacteroidetes,904138,22001612562605
Bacteria,Chlorobi,213,22001612562605
Bacteria,Ignavibacteriae,45,22001612562605
Bacteria,Balneolaeota,42,22001612562605
Bacteria,Gemmatimonadetes,47,22001612562605
Bacteria,Fibrobacteres,23,22001612562605
Bacteria,Firmicutes,289196,22001612562605
Bacteria,Actinobacteria,33833,22001612562605
Bacteria,Cyanobacteria,770,22001612562605
Bacteria,Tenericutes,385,22001612562605
Bacteria,Deinococcus-Thermus,236,22001612562605
Bacteria,Chloroflexi,178,22001612562605
Bacteria,Armatimonadetes,24,22001612562605
Bacteria,Proteobacteria,33050,22001612562605
Bacteria,Verrucomicrobia,9646,22001612562605
Bacteria,Planctomycetes,646,22001612562605
Bacteria,Lentisphaerae,45,22001612562605
Bacteria,Chlamydiae,19,22001612562605
Bacteria,Kiritimatiellaeota,11,22001612562605
Bacteria,Fusobacteria,4939,22001612562605
Bacteria,Spirochaetes,579,22001612562605
Bacteria,Acidobacteria,115,22001612562605
Bacteria,Thermotogae,116,22001612562605
Bacteria,Synergistetes,73,22001612562605
Bacteria,Aquificae,65,22001612562605
Bacteria,Deferribacteres,50,22001612562605
Bacteria,Candidatus Saccharibacteria,35,22001612562605
Bacteria,Nitrospirae,33,22001612562605
Bacteria,Elusimicrobia,32,22001612562605
Bacteria,Thermodesulfobacteria,23,22001612562605
Archaea,Crenarchaeota,52,22001612562605
Archaea,Thaumarchaeota,134172,22001612562605
Archaea,Euryarchaeota,639,22001612562605
Metazoa,Chordata,1661,22001612562605
Bacteria,Firmicutes,580023,22001612560701
Bacteria,Actinobacteria,137764,22001612560701
Bacteria,Cyanobacteria,1158,22001612560701
Bacteria,Deinococcus-Thermus,638,22001612560701
Bacteria,Tenericutes,467,22001612560701
Bacteria,Chloroflexi,442,22001612560701
Bacteria,Armatimonadetes,61,22001612560701
Bacteria,Bacteroidetes,501807,22001612560701
Bacteria,Chlorobi,269,22001612560701
Bacteria,Ignavibacteriae,60,22001612560701
Bacteria,Balneolaeota,30,22001612560701
Bacteria,Fibrobacteres,84,22001612560701
Bacteria,Gemmatimonadetes,70,22001612560701
Bacteria,Verrucomicrobia,53668,22001612560701
Bacteria,Planctomycetes,1295,22001612560701
Bacteria,Lentisphaerae,241,22001612560701
Bacteria,Chlamydiae,55,22001612560701
Bacteria,Kiritimatiellaeota,35,22001612560701
Bacteria,Proteobacteria,42107,22001612560701
Bacteria,Spirochaetes,917,22001612560701
Bacteria,Fusobacteria,548,22001612560701
Bacteria,Acidobacteria,242,22001612560701
Bacteria,Synergistetes,228,22001612560701
Bacteria,Thermotogae,184,22001612560701
Bacteria,Nitrospirae,96,22001612560701
Bacteria,Aquificae,79,22001612560701
Bacteria,Deferribacteres,59,22001612560701
Bacteria,Candidatus Saccharibacteria,48,22001612560701
Bacteria,Elusimicrobia,45,22001612560701
Bacteria,Thermodesulfobacteria,28,22001612560701
Bacteria,Chrysiogenetes,21,22001612560701
Bacteria,Calditrichaeota,16,22001612560701
Bacteria,Dictyoglomi,13,22001612560701
Bacteria,Coprothermobacterota,10,22001612560701
Archaea,Euryarchaeota,2809,22001612560701
Archaea,Crenarchaeota,85,22001612560701
Archaea,Thaumarchaeota,55,22001612560701
Metazoa,Chordata,2033,22001612560701
Bacteria,Bacteroidetes,1208785,22001612561012
Bacteria,Chlorobi,74,22001612561012
Bacteria,Ignavibacteriae,16,22001612561012
Bacteria,Balneolaeota,11,22001612561012
Bacteria,Fibrobacteres,28,22001612561012
Bacteria,Gemmatimonadetes,24,22001612561012
Bacteria,Firmicutes,959974,22001612561012
Bacteria,Actinobacteria,101958,22001612561012
Bacteria,Cyanobacteria,605,22001612561012
Bacteria,Tenericutes,545,22001612561012
Bacteria,Deinococcus-Thermus,223,22001612561012
Bacteria,Chloroflexi,145,22001612561012
Bacteria,Armatimonadetes,12,22001612561012
Bacteria,Proteobacteria,294974,22001612561012
Bacteria,Fusobacteria,1005,22001612561012
Bacteria,Planctomycetes,502,22001612561012
Bacteria,Verrucomicrobia,322,22001612561012
Bacteria,Chlamydiae,25,22001612561012
Bacteria,Lentisphaerae,17,22001612561012
Bacteria,Kiritimatiellaeota,17,22001612561012
Bacteria,Spirochaetes,514,22001612561012
Bacteria,Candidatus Saccharibacteria,170,22001612561012
Bacteria,Candidatus Bipolaricaulota,10,22001612561012
Bacteria,Thermotogae,121,22001612561012
Bacteria,Acidobacteria,95,22001612561012
Bacteria,Synergistetes,79,22001612561012
Bacteria,Nitrospirae,50,22001612561012
Bacteria,Aquificae,39,22001612561012
Bacteria,Deferribacteres,17,22001612561012
Bacteria,Elusimicrobia,15,22001612561012
Metazoa,Chordata,9141,22001612561012
Archaea,Euryarchaeota,406,22001612561012
Archaea,Crenarchaeota,32,22001612561012
Archaea,Thaumarchaeota,123,22001612561012
Bacteria,Bacteroidetes,1268813,22001612562325
Bacteria,Chlorobi,185,22001612562325
Bacteria,Ignavibacteriae,112,22001612562325
Bacteria,Balneolaeota,47,22001612562325
Bacteria,Fibrobacteres,60,22001612562325
Bacteria,Gemmatimonadetes,50,22001612562325
Bacteria,Firmicutes,470916,22001612562325
Bacteria,Actinobacteria,20756,22001612562325
Bacteria,Cyanobacteria,1170,22001612562325
Bacteria,Tenericutes,452,22001612562325
Bacteria,Deinococcus-Thermus,359,22001612562325
Bacteria,Chloroflexi,308,22001612562325
Bacteria,Armatimonadetes,71,22001612562325
Bacteria,Proteobacteria,38252,22001612562325
Bacteria,Planctomycetes,887,22001612562325
Bacteria,Verrucomicrobia,408,22001612562325
Bacteria,Chlamydiae,64,22001612562325
Bacteria,Lentisphaerae,41,22001612562325
Bacteria,Spirochaetes,1077,22001612562325
Bacteria,Fusobacteria,559,22001612562325
Bacteria,Thermotogae,218,22001612562325
Bacteria,Acidobacteria,181,22001612562325
Bacteria,Synergistetes,157,22001612562325
Bacteria,Aquificae,134,22001612562325
Bacteria,Candidatus Saccharibacteria,51,22001612562325
Bacteria,Candidatus Gracilibacteria,20,22001612562325
Bacteria,Candidatus Bipolaricaulota,19,22001612562325
Bacteria,Nitrospirae,71,22001612562325
Bacteria,Elusimicrobia,56,22001612562325
Bacteria,Calditrichaeota,53,22001612562325
Bacteria,Deferribacteres,51,22001612562325
Bacteria,Thermodesulfobacteria,32,22001612562325
Bacteria,Chrysiogenetes,22,22001612562325
Bacteria,Coprothermobacterota,21,22001612562325
Bacteria,Dictyoglomi,13,22001612562325
Archaea,Crenarchaeota,73,22001612562325
Archaea,Thaumarchaeota,35009,22001612562325
Archaea,Euryarchaeota,834,22001612562325
Metazoa,Chordata,3365,22001612562325
Viruses,Negarnaviricota,42,22001612562325
Bacteria,Bacteroidetes,865134,22001612560541
Bacteria,Chlorobi,104,22001612560541
Bacteria,Balneolaeota,28,22001612560541
Bacteria,Ignavibacteriae,10,22001612560541
Bacteria,Fibrobacteres,24,22001612560541
Bacteria,Firmicutes,148179,22001612560541
Bacteria,Actinobacteria,2666,22001612560541
Bacteria,Cyanobacteria,257,22001612560541
Bacteria,Deinococcus-Thermus,108,22001612560541
Bacteria,Chloroflexi,95,22001612560541
Bacteria,Tenericutes,65,22001612560541
Bacteria,Proteobacteria,37929,22001612560541
Bacteria,Planctomycetes,295,22001612560541
Bacteria,Verrucomicrobia,201,22001612560541
Bacteria,Kiritimatiellaeota,16,22001612560541
Bacteria,Chlamydiae,13,22001612560541
Bacteria,Spirochaetes,223,22001612560541
Bacteria,Fusobacteria,92,22001612560541
Bacteria,Acidobacteria,68,22001612560541
Bacteria,Thermotogae,95,22001612560541
Bacteria,Synergistetes,32,22001612560541
Bacteria,Nitrospirae,27,22001612560541
Bacteria,Aquificae,25,22001612560541
Bacteria,Deferribacteres,15,22001612560541
Metazoa,Chordata,525,22001612560541
Archaea,Euryarchaeota,126,22001612560541
Archaea,Crenarchaeota,19,22001612560541
Bacteria,Firmicutes,424114,22001612561191
Bacteria,Actinobacteria,47325,22001612561191
Bacteria,Cyanobacteria,1555,22001612561191
Bacteria,Deinococcus-Thermus,617,22001612561191
Bacteria,Tenericutes,461,22001612561191
Bacteria,Chloroflexi,444,22001612561191
Bacteria,Armatimonadetes,86,22001612561191
Bacteria,Bacteroidetes,398687,22001612561191
Bacteria,Chlorobi,468,22001612561191
Bacteria,Ignavibacteriae,39,22001612561191
Bacteria,Balneolaeota,39,22001612561191
Bacteria,Fibrobacteres,131,22001612561191
Bacteria,Gemmatimonadetes,103,22001612561191
Bacteria,Candidatus Cloacimonetes,100,22001612561191
Bacteria,Proteobacteria,45675,22001612561191
Bacteria,Lentisphaerae,3926,22001612561191
Bacteria,Planctomycetes,1559,22001612561191
Bacteria,Verrucomicrobia,688,22001612561191
Bacteria,Chlamydiae,67,22001612561191
Bacteria,Kiritimatiellaeota,13,22001612561191
Bacteria,Spirochaetes,1106,22001612561191
Bacteria,Fusobacteria,498,22001612561191
Bacteria,Acidobacteria,314,22001612561191
Bacteria,Thermotogae,264,22001612561191
Bacteria,Synergistetes,197,22001612561191
